ID,Type,Option 1,Option 2,Option 3,Correct Answer,Index of Correct Answer
29,Intersection,حركة سير دائرية - مستديرة,لافتة تأكيد الإتجاه على الطريق السريع,انتهاء منع قيود التجاوز,حركة سير دائرية - مستديرة,1
30,Intersection,تقاطع - إفسح المجال للسيارات القادمة من اليمين,عبور حيوانات,اتجاه اجباري إلى اليسار,تقاطع - إفسح المجال للسيارات القادمة من اليمين,1
31,Intersection,لافتة متقدمة تدل على اتجاهات الحركة...,تقاطع مع طريق بدون أفضلية,ممنوع مرور المركبات التي يزيد وزنها المحوري عن الرقم المحدد,تقاطع مع طريق بدون أفضلية,2
32,Intersection,نهاية الاستعمال الاجباري للسلاسل المعدنية,طريق أفضلية,وقوف مقابل بدل,طريق أفضلية,2
33,Intersection,انتبه مدرسة,نهاية طريق أفضلية,ممنوع مرور المركبات التي يزيد ارتفاعها عن الرقم المحدد,نهاية طريق أفضلية,2
34,Prohibition,ممنوع الوقوف,لافتة لمخرج الطريق السريع,ممنوع مرور عموم المركبات في الاتجاهين,ممنوع مرور عموم المركبات في الاتجاهين,3
35,Prohibition,ممنوع دخول العربات التي تجر باليد,السلاسل المعدنية الزامية,ممنوع الدخول,ممنوع الدخول,3
36,Prohibition,السرعة المقترحة,ممنوع الاتجاه لليسار,نهاية طريق سريع,ممنوع الاتجاه لليسار,2
37,Prohibition,ممنوع الاتجاه لليمين,انتهاء الحد الأدنى للسرعة,اتجاه اجباري إلى اليسار,ممنوع الاتجاه لليمين,1
38,Prohibition,موقف باصات,منعطفان من اليمين إلى اليسار,ممنوع الالتفاف,ممنوع الالتفاف,3
39,Prohibition,ممنوع التجاوز,تقاطع - إفسح المجال للسيارات القادمة من اليمين,علامات المنعطفات,ممنوع التجاوز,1
40,Prohibition,أدنى سرعة الزامية,ممنوع التجاوز السيارات النقل,مطب تخفيض سرعة,ممنوع التجاوز السيارات النقل,2
41,Prohibition,خطر غير محدد,ممنوع دخول السيارات والدراجات الآلية,ممر سكة حديد,ممنوع دخول السيارات والدراجات الآلية,2
42,Prohibition,ممنوع دخول الشاحنات,منعطف لليسار,موقف,ممنوع دخول الشاحنات,1
43,Prohibition,ممنوع دخول المشاة,الزم اليمين,نهاية الممر الإجباري للمشاة,ممنوع دخول المشاة,1
44,Prohibition,السلاسل المعدنية الزامية,فندق,ممنوع دخول الدراجات الهوائية,ممنوع دخول الدراجات الهوائية,3
45,Prohibition,إنحدار خطر,أدنى سرعة الزامية,ممنوع دخول العربات التي تقطرها الحيوانات,ممنوع دخول العربات التي تقطرها الحيوانات,3
46,Prohibition,ممنوع دخول المركبات الزراعية,تسهيلات للمعوقين,ممنوع دخول الشاحنات,ممنوع دخول المركبات الزراعية,1
47,Prohibition,ممنوع دخول العربات التي تجر باليد,علامات حدود الطريق,محطة وقود,ممنوع دخول العربات التي تجر باليد,1
48,Prohibition,إنحدار خطر,ممنوع دخول باصات النقل العام,انتهاء منع استعمال المنبه,ممنوع دخول باصات النقل العام,2
49,Prohibition,ممنوع دخول الدراجات الآلية,انتهاء منع قيود التجاوز,مطب تخفيض سرعة,ممنوع دخول الدراجات الآلية,1
50,Prohibition,تحليق منخفض للطائرات,ممنوع مرور المركبات التي يزيد طولها عن الرقم المحدد,نهاية ممر أو طريق للدراجات الهوائية,ممنوع مرور المركبات التي يزيد طولها عن الرقم المحدد,2
51,Prohibition,مخرج الى طريق رقم,لافتة متقدمة للدلالة على المسارب,ممنوع مرور المركبات التي يزيد عرضها عن الرقم المحدد,ممنوع مرور المركبات التي يزيد عرضها عن الرقم المحدد,3
52,Prohibition,إسعافات أولية,منعطف لليمين,ممنوع مرور المركبات التي يزيد ارتفاعها عن الرقم المحدد,ممنوع مرور المركبات التي يزيد ارتفاعها عن الرقم المحدد,3
53,Prohibition,اتجاه اجباري الى اليمين,ممنوع مرور المركبات التي يزيد وزنها عن الرقم المحدد,ممر أو طريق للدراجات الهوائية,ممنوع مرور المركبات التي يزيد وزنها عن الرقم المحدد,2
54,Prohibition,ممنوع مرور المركبات التي يزيد وزنها المحوري عن الرقم المحدد,ممنوع دخول العربات التي تجر باليد,فندق,ممنوع مرور المركبات التي يزيد وزنها المحوري عن الرقم المحدد,1
55,Prohibition,ممر سكة حديد,أقصى سرعة مسموح بها,مركز تصليح,أقصى سرعة مسموح بها,2
56,Prohibition,أفضلية المرور للسيارات القادمة من الجهة المقابلة,منعطف لليسار,أدنى سرعة الزامية,أفضلية المرور للسيارات القادمة من الجهة المقابلة,1
57,Prohibition,لافتة مطار,ممنوع استعمال المنبه,أدنى سرعة الزامية,ممنوع استعمال المنبه,2
58,Prohibition,ممنوع استعمال المنبه,ممنوع دخول المركبات التي تحمل مواد ملوثة,خطر غير محدد,ممنوع دخول المركبات التي تحمل مواد ملوثة,2
59,Prohibition,ممنوع دخول باصات النقل العام,ممر سكة حديد,ممنوع دخول المركبات التي تحمل مواد متفجرة...,ممنوع دخول المركبات التي تحمل مواد متفجرة...,3
60,Prohibition,ممنوع دخول المركبات التي تحمل مواد خطرة,ممنوع دخول باصات النقل العام,طريق غير نافذ,ممنوع دخول المركبات التي تحمل مواد خطرة,1
61,Parking,مقهى,طريق غير نافذ,ممنوع الوقوف,ممنوع الوقوف,3
62,Parking,موقف سيارات أجرة,ممنوع التوقف والوقوف,ممر مخصص للفروسية,ممنوع التوقف والوقوف,2
63,Parking,الطريق يضيق من الجانبين,ممنوع التجاوز السيارات النقل,بداية منطقة موقف بدل دفع,بداية منطقة موقف بدل دفع,3
64,Mandatory,انخفاضات,اتجاه سير اجباري إلى اليمين,ممنوع مرور عموم المركبات في الاتجاهين,اتجاه سير اجباري إلى اليمين,2
65,Mandatory,علامات لتقاطعات الطرق,مركز تصليح,اتجاه سير اجباري إلى اليسار,اتجاه سير اجباري إلى اليسار,3
66,Mandatory,ممنوع الدخول,الزم اليمين,ممنوع التجاوز السيارات النقل,الزم اليمين,2
67,Mandatory,علامات لتقاطعات الطرق,الطريق يضيق من الجانبين,الزم اليسار,الزم اليسار,3
68,Mandatory,ممنوع التجاوز السيارات النقل,انتهاء منع قيود التجاوز,اتجاه اجباري مستقيم,اتجاه اجباري مستقيم,3
69,Mandatory,انتهاء قيود منع تجاوز الشاحنات,منعطف لليمين,اتجاه اجباري الى اليمين,اتجاه اجباري الى اليمين,3
70,Mandatory,اتجاه اجباري مستقيم أو إلى اليسار,اتجاه اجباري إلى اليسار,تقاطع - إفسح المجال للسيارات القادمة من اليمين,اتجاه اجباري إلى اليسار,2
71,Mandatory,اتجاه اجباري مستقيم أو إلى اليمين,ممنوع التجاوز السيارات النقل,ممنوع دخول السيارات والدراجات الآلية,اتجاه اجباري مستقيم أو إلى اليمين,1
72,Mandatory,مطعم,مسار إلزامي للمشاة,اتجاه اجباري مستقيم أو إلى اليسار,اتجاه اجباري مستقيم أو إلى اليسار,3
73,Mandatory,دمج مسارب السير,مسار إلزامي للمشاة,اتجاه اجباري الى اليمين أو الى اليسار,اتجاه اجباري الى اليمين أو الى اليسار,3
74,Mandatory,ممر أو طريق للدراجات الهوائية,ممنوع دخول المركبات التي تحمل مواد خطرة,طريق غير نافذ,ممر أو طريق للدراجات الهوائية,1
75,Mandatory,عبور حيوانات,مخرج الى طريق رقم,مسار إلزامي للمشاة,مسار إلزامي للمشاة,3
76,Mandatory,ممنوع الاتجاه لليمين,لافتة متقدمة تدل على اتجاهات الحركة...,ممر مخصص للفروسية,ممر مخصص للفروسية,3
77,Mandatory,هاتف عمومي,اتجاه اجباري الى اليمين أو الى اليسار,أدنى سرعة الزامية,أدنى سرعة الزامية,3
78,Mandatory,انتهاء قيود منع تجاوز الشاحنات,الزم اليمين,السلاسل المعدنية الزامية,السلاسل المعدنية الزامية,3
79,Mandatory,منعطفان من اليسار إلى اليمين,مسرب مخصص للباصات,ممنوع دخول المركبات الزراعية,مسرب مخصص للباصات,2
80,End Prohibition,انتهاء جميع القيود السابقة على حركة السير,مقهى,ممنوع استعمال المنبه,انتهاء جميع القيود السابقة على حركة السير,1
81,End Prohibition,تسهيلات للمعوقين,مخرج الى طريق رقم,انتهاء حد السرعة,انتهاء حد السرعة,3
82,End Prohibition,ممنوع التوقف والوقوف,أشغال,انتهاء منع قيود التجاوز,انتهاء منع قيود التجاوز,3
83,End Prohibition,انتهاء حد السرعة,إشارات كهربائية,انتهاء قيود منع تجاوز الشاحنات,انتهاء قيود منع تجاوز الشاحنات,3
84,End Prohibition,الزم اليسار,ممنوع دخول الشاحنات,انتهاء منع استعمال المنبه,انتهاء منع استعمال المنبه,3
85,End Mandatory,موقع تخييم (خيام),ممنوع مرور المركبات التي يزيد وزنها المحوري عن الرقم المحدد,نهاية ممر أو طريق للدراجات الهوائية,نهاية ممر أو طريق للدراجات الهوائية,3
86,End Mandatory,نهاية الممر الإجباري للمشاة,السرعة المقترحة,خطر انهيارات,نهاية الممر الإجباري للمشاة,1
87,End Mandatory,موقع تخييم (قوافل),اتجاه اجباري مستقيم أو إلى اليسار,نهاية ممر الفروسية الإلزامي,نهاية ممر الفروسية الإلزامي,3
88,End Mandatory,الطريق يضيق من اليمين,انتهاء الحد الأدنى للسرعة,علامات المنعطفات,انتهاء الحد الأدنى للسرعة,2
89,End Mandatory,محطة وقود,نهاية الممر المخصص للباصات,لافتة تأكيد الإتجاه على الطريق السريع,نهاية الممر المخصص للباصات,2
90,End Mandatory,نهاية الاستعمال الاجباري للسلاسل المعدنية,تقاطع سكة حديد دون حواجز,ممنوع دخول الدراجات الهوائية,نهاية الاستعمال الاجباري للسلاسل المعدنية,1
91,Information,موقف,حركة سير دائرية - مستديرة,انتهاء الحد الأدنى للسرعة,موقف,1
92,Information,أفضلية المرور للسيارات القادمة من الجهة المقابلة,منطقة موقف مجاني,ممر مخصص للفروسية,منطقة موقف مجاني,2
93,Information,نفق طوله أكثر من ٥٠٠ م,وقوف مقابل بدل,اتجاه السير اجباري الى الأمام,وقوف مقابل بدل,2
94,Information,ممنوع مرور المركبات التي يزيد ارتفاعها عن الرقم المحدد,السرعة المقترحة,انتهاء الحد الأدنى للسرعة,السرعة المقترحة,2
95,Information,نهاية حدود السرعة المقترحة,توقف عند التقاطع,ممنوع مرور المركبات التي يزيد وزنها المحوري عن الرقم المحدد,نهاية حدود السرعة المقترحة,1
96,Information,موقع تخييم (قوافل),ممنوع مرور المركبات التي يزيد عرضها عن الرقم المحدد,موقف سيارات أجرة,موقف سيارات أجرة,3
97,Information,منعطفان من اليمين إلى اليسار,موقف باصات,حركة سير دائرية - مستديرة,موقف باصات,2
98,Information,ممر سكة حديد,موقف تراموي,اتجاه اجباري إلى اليسار,موقف تراموي,2
99,Information,ممنوع دخول المشاة,اتجاه السير اجباري الى الأمام,أدنى سرعة الزامية,اتجاه السير اجباري الى الأمام,2
100,Information,ممنوع مرور المركبات التي يزيد ارتفاعها عن الرقم المحدد,تقاطع سكة حديد مجهز بحواجز,طريق غير نافذ,طريق غير نافذ,3
101,Information,لافتة متقدمة تدل على منطقة معينة,عبور دراجات,طريق غير نافذ,طريق غير نافذ,3
102,Information,ممر مشاة,أفضلية على السيارات القادمة من الجهة المقابلة,محطة وقود,أفضلية على السيارات القادمة من الجهة المقابلة,2
103,Information,إسعافات أولية,ممر مشاة,تقاطع سكة حديد دون حواجز,ممر مشاة,2
104,Information,تحديد اتجاهات المسارب,ممنوع دخول العربات التي تجر باليد,ممنوع دخول المركبات التي تحمل مواد متفجرة...,تحديد اتجاهات المسارب,1
105,Information,دمج مسارب السير,ممنوع دخول باصات النقل العام,لافتة متقدمة للدلالة على المسارب,دمج مسارب السير,1
106,Information,ممنوع دخول العربات التي تقطرها الحيوانات,بداية طريق سريع,لافتة تأكيد الإتجاه على الطريق السريع,بداية طريق سريع,2
107,Information,حركة سير في كلا الاتجاهين,ممنوع دخول السيارات والدراجات الآلية,نهاية طريق سريع,نهاية طريق سريع,3
108,Information,اتجاه اجباري مستقيم,نهاية الاستعمال الاجباري للسلاسل المعدنية,مستشفى,مستشفى,3
109,Information,فندق,انتبه مدرسة,نفق طوله أكثر من ٥٠٠ م,نفق طوله أكثر من ٥٠٠ م,3
110,Information,ممنوع دخول الشاحنات,انتهاء جميع القيود السابقة على حركة السير,لافتة رادار المراقبة السرعة,لافتة رادار المراقبة السرعة,3
111,Service,إسعافات أولية,لافتة متقدمة للدلالة على مخارج,موقف تراموي,إسعافات أولية,1
112,Service,مكتب إستعلامات,موقف تراموي,لافتة متقدمة للدلالة على المسارب,مكتب إستعلامات,1
113,Service,إسعافات أولية,نهاية الاستعمال الاجباري للسلاسل المعدنية,تقاطع - إفسح المجال للسيارات القادمة من اليمين,إسعافات أولية,1
114,Service,هاتف للطوارىء,اتجاه اجباري مستقيم أو إلى اليمين,ممنوع مرور المركبات التي يزيد طولها عن الرقم المحدد,هاتف للطوارىء,1
115,Service,انتبه مدرسة,نهاية حدود السرعة المقترحة,هاتف عمومي,هاتف عمومي,3
116,Service,ممر سكة حديد,مراحيض عامة,أفضلية المرور للسيارات القادمة من الجهة المقابلة,مراحيض عامة,2
117,Service,منعطف لليسار,تسهيلات للمعوقين,اتجاه اجباري الى اليمين,تسهيلات للمعوقين,2
118,Service,مطعم,الزم اليسار,منعطف لليسار,مطعم,1
119,Service,توقف عند التقاطع,لافتة متقدمة للدلالة على المسارب,مقهى,مقهى,3
120,Service,نهاية الممر المخصص للباصات,محطة وقود,ممر مخصص للفروسية,محطة وقود,2
121,Service,مكتب إستعلامات,فندق,منعطف لليمين,فندق,2
122,Service,ممنوع دخول الشاحنات,موقع تخييم (خيام),تسهيلات للمعوقين,موقع تخييم (خيام),2
123,Service,تحليق منخفض للطائرات,موقع تخييم (قوافل),الزم اليسار,موقع تخييم (قوافل),2
124,Service,هاتف عمومي,محطة وقود,نزل للشباب,نزل للشباب,3
125,Service,مركز تصليح,إنحدار خطر,نهاية طريق سريع,مركز تصليح,1
126,Directional,الزم اليسار,لافتة متقدمة للدلالة على مخارج,لافتة اتجاه مع المسافة,لافتة اتجاه مع المسافة,3
127,Directional,خطر انهيارات,لافتة متقدمة للدلالة على مخارج,لافتة رادار المراقبة السرعة,لافتة متقدمة للدلالة على مخارج,2
128,Directional,ممنوع دخول المركبات الزراعية,لافتة اتجاه مع المسافة,لافتة متقدمة تدل على منطقة معينة,لافتة متقدمة تدل على منطقة معينة,3
129,Directional,مركز تصليح,لافتة متقدمة للدلالة على المسارب,علامات المنعطفات للطرق الثلجية,لافتة متقدمة للدلالة على المسارب,2
130,Directional,لافتة اتجاه على الطريق السريع,أقصى سرعة مسموح بها,ممنوع الالتفاف,لافتة اتجاه على الطريق السريع,1
131,Directional,طريق أفضلية,تقاطع سكة حديد دون حواجز,لافتة متقدمة تدل على اتجاهات الحركة...,لافتة متقدمة تدل على اتجاهات الحركة...,3
132,Directional,إشارات كهربائية,السرعة المقترحة,لافتة لمخرج الطريق السريع,لافتة لمخرج الطريق السريع,3
133,Directional,ممنوع التجاوز,مخرج الى طريق رقم,عبور دراجات,مخرج الى طريق رقم,2
134,Directional,ممنوع الاتجاه لليمين,ممنوع الوقوف,لافتة تأكيد الإتجاه على الطريق السريع,لافتة تأكيد الإتجاه على الطريق السريع,3
135,Directional,موقع تخييم (خيام),لافتة مطار,انتهاء منع استعمال المنبه,لافتة مطار,2
136,Delineators,موقف سيارات أجرة,علامات المنعطفات,اتجاه اجباري مستقيم أو إلى اليمين,علامات المنعطفات,2
137,Delineators,علامات المنعطفات للطرق الثلجية,ممنوع الالتفاف,نفق طوله أكثر من ٥٠٠ م,علامات المنعطفات للطرق الثلجية,1
138,Delineators,تحديد اتجاهات المسارب,محطة وقود,علامات لتقاطعات الطرق,علامات لتقاطعات الطرق,3
139,Delineators,علامات المنعطفات,لافتة رادار المراقبة السرعة,بداية طريق سريع,علامات المنعطفات,1
140,Delineators,علامات لتقاطعات الطرق,علامات حدود الطريق,مركز تصليح,علامات حدود الطريق,2
141,Delineators,اتجاه السير اجباري الى الأمام,تقاطع سكة حديد دون حواجز,علامات تحديد رؤوس الجزر باللون الأصفر...,علامات تحديد رؤوس الجزر باللون الأصفر...,3
